source-ru,target-ru,source-en,target-en,weight
Республика Северная Осетия — Алания,Ивановская область,Republic of North Ossetia-Alania,Ivanovo region,9
Республика Северная Осетия — Алания,Иркутская область,Republic of North Ossetia-Alania,Irkutsk region,9
Республика Северная Осетия — Алания,Калининградская область,Republic of North Ossetia-Alania,Kaliningrad region,9
Республика Северная Осетия — Алания,Калужская область,Republic of North Ossetia-Alania,Kaluga region,9
Республика Северная Осетия — Алания,Камчатский край,Republic of North Ossetia-Alania,Kamchatka Krai,9
Республика Северная Осетия — Алания,Курганская область,Republic of North Ossetia-Alania,Kurgan region,9
Республика Северная Осетия — Алания,Мурманская область,Republic of North Ossetia-Alania,Murmansk region,9
Республика Северная Осетия — Алания,Новгородская область,Republic of North Ossetia-Alania,Novgorod region,9
Республика Северная Осетия — Алания,Новосибирская область,Republic of North Ossetia-Alania,Novosibirsk region,9
Республика Северная Осетия — Алания,Омская область,Republic of North Ossetia-Alania,Omsk region,9
Республика Северная Осетия — Алания,Оренбургская область,Republic of North Ossetia-Alania,Orenburg region,9
Республика Северная Осетия — Алания,Орловская область,Republic of North Ossetia-Alania,Oryol Region,9
Республика Северная Осетия — Алания,Приморский край,Republic of North Ossetia-Alania,Primorsky Krai,9
Республика Северная Осетия — Алания,Республика Адыгея,Republic of North Ossetia-Alania,Republic of Adygea,9
Республика Северная Осетия — Алания,Республика Башкортостан,Republic of North Ossetia-Alania,Republic of Bashkortostan,9
